Date,Price,Open,High,Low,Vol.,Change %
2020-12-22,36461.1,36928.1,36928.1,36266.6,3.44M,-1.26%
2020-12-23,36266.6,36577.9,36967.0,36110.9,2.65M,-0.53%
2020-12-24,35410.5,36266.6,36422.2,34165.3,3.94M,-2.36%
2020-12-25,36266.6,35410.5,36344.4,35021.4,1.97M,2.42%
2020-12-28,36928.1,36539.0,37356.1,36422.2,3.97M,1.82%
2020-12-29,37628.5,36811.4,37862.0,36811.4,3.81M,1.90%
2020-12-30,37395.1,37667.4,37978.7,37356.1,1.81M,-0.62%
2020-12-31,37909.5,37395.0,37909.5,37197.2,1.69M,1.38%
2021-01-04,38186.5,37790.8,38344.8,37790.8,2.51M,0.73%
2021-01-05,37909.5,37909.5,38067.8,37711.6,2.71M,-0.73%
2021-01-06,38621.8,38226.0,40046.3,37632.5,4.62M,1.88%
2021-01-07,38700.9,38621.8,39492.3,38384.3,2.11M,0.20%
2021-01-08,38384.3,39017.5,39017.5,38146.9,2.56M,-0.82%
2021-01-11,38186.5,38384.3,38463.5,37909.5,3.47M,-0.52%
2021-01-12,38582.2,38186.5,38780.0,37909.5,2.75M,1.04%
2021-01-13,38344.8,38621.8,38938.3,38305.2,2.08M,-0.62%
2021-01-14,38661.3,38384.3,38780.0,37988.6,2.40M,0.83%
2021-01-15,38661.3,39017.5,39175.8,38661.3,3.02M,0.00%
2021-01-18,38503.0,38700.9,38780.0,38463.5,2.12M,-0.41%
2021-01-19,35812.2,38463.5,38463.5,35812.2,3.40M,-6.99%
2021-01-20,36010.0,35812.2,36801.5,33635.8,2.90M,0.55%
2021-01-21,36801.5,36089.2,36801.5,35772.6,1.69M,2.20%
2021-01-22,35812.2,36801.5,36841.0,35693.5,2.78M,-2.69%
2021-01-25,35297.8,35614.3,35772.6,35139.5,1.73M,-1.44%
2021-01-26,33675.3,35099.9,35099.9,33081.7,2.31M,-4.60%
2021-01-27,32686.0,33675.3,34348.0,32132.0,2.64M,-2.94%
2021-01-28,30430.5,30865.7,31657.2,30430.5,3.39M,-6.90%
2021-01-29,31578.0,28887.2,32329.9,28887.2,2.53M,3.77%
2021-02-01,30944.9,31578.0,32448.6,30588.7,1.94M,-2.00%
2021-02-02,31142.7,30786.6,31617.6,30509.6,3.14M,0.64%
2021-02-03,32725.6,31736.3,32844.3,31419.7,2.33M,5.08%
2021-02-04,32844.3,32765.2,32923.5,32369.5,1.73M,0.36%
2021-02-05,33081.7,32844.3,33319.2,32686.0,1.61M,0.72%
2021-02-08,31736.3,33081.7,33240.0,30905.3,2.36M,-4.07%
2021-02-09,32290.3,32052.9,32606.9,31419.7,1.82M,1.75%
2021-02-17,33319.2,32329.9,33319.2,32329.9,1.81M,3.19%
2021-02-18,34348.0,33398.3,34427.2,33002.6,2.94M,3.09%
2021-02-19,34902.0,34031.5,35218.6,33912.8,2.55M,1.61%
2021-02-22,34625.0,34902.0,35218.6,34585.5,1.92M,-0.79%
2021-02-23,34822.9,34625.0,34902.0,34189.8,1.93M,0.57%
2021-02-24,34071.0,34743.8,34981.2,33714.9,2.06M,-2.16%
2021-02-25,33991.9,34150.2,34664.6,33398.3,2.18M,-0.23%
2021-02-26,34506.3,33873.2,34585.5,33477.5,1.74M,1.51%
2021-03-01,34902.0,34506.3,35139.5,34506.3,2.83M,1.15%
2021-03-02,34862.5,35218.6,35297.8,34704.2,2.67M,-0.11%
2021-03-03,34664.6,34862.5,34981.2,34585.5,1.99M,-0.57%
2021-03-04,33833.6,34822.9,35020.8,33477.5,2.63M,-2.40%
2021-03-05,33556.6,33833.6,34268.9,33240.0,2.34M,-0.82%
2021-03-08,33596.2,34348.0,34348.0,33477.5,2.01M,0.12%
2021-03-09,33121.3,33556.6,33556.6,32844.3,3.06M,-1.41%
2021-03-10,33240.0,33240.0,33398.3,32765.2,2.59M,0.36%
2021-03-11,34268.9,33794.0,34506.3,33675.3,2.10M,3.10%
2021-03-12,34308.5,34427.2,34585.5,34110.6,3.19M,0.12%
2021-03-15,34031.5,34427.2,34506.3,33873.2,3.50M,-0.81%
